Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
59,5220779114,clilly35,34.67,96.8,1B Josh Bell 2B Jake Cronenworth 3B Jared Triolo C Drake Baldwin OF Bryan Reynolds OF Jackson Merrill OF Dominic Smith P Dylan Cease P Michael Soroka SS Colson Montgomery,,Luis Torrens,C,4.88%,16
60,5220781594,turfgurutigers69,19.35,96.75,1B Munetaka Murakami 2B Sam Antonacci 3B Nolan Arenado C Gabriel Moreno OF Corbin Carroll OF Heriberto Hernandez OF Mike Yastrzemski P Eury Perez P Christian Scott SS Geraldo Perdomo,,Brandon Marsh,OF,4.71%,0
61,5220783575,FantasyCrusader (6/8),26.01,96.7,1B Jared Young 2B Brett Baty 3B Bo Bichette C Luis Torrens OF Byron Buxton OF Carson Benge OF Trevor Larnach P Dylan Cease P Dean Kremer SS CJ Abrams,,Edmundo Sosa,SS,4.55%,8
61,5220784694,mclocker (2/2),18.68,96.7,1B Jared Young 2B Jorge Polanco 3B Charles McAdoo C Drake Baldwin OF Byron Buxton OF Corbin Carroll OF Javier Sanoja P Dylan Cease P Christian Scott SS Francisco Lindor,,Chase DeLauter,OF,4.55%,0
63,5220787863,Gronkowski69 (11/12),29.99,96.55,1B Josh Bell 2B Kody Clemens 3B Nolan Arenado C Agustin Ramirez OF Byron Buxton OF Trevor Larnach OF Tim Tawa P Dylan Cease P Eury Perez SS Kaelen Culpepper,,Patrick Sandoval,P,4.55%,-0.2
64,5220771802,SteelCurtain945,25.17,94.899994,1B Kyle Schwarber 2B Brandon Lowe 3B Kazuma Okamoto C Henry Davis OF Corbin Carroll OF Bryan Reynolds OF Esmerlyn Valdez P Lake Bachar P Hunter Barco SS Francisco Lindor,,Drew Anderson,P,4.55%,11.65
65,5220784539,brandonabk (4/4),20.01,94.7,1B Jared Young 2B Jorge Polanco 3B Eugenio Suarez C Drake Baldwin OF Byron Buxton OF Esteury Ruiz OF Jakob Marsee P Dylan Cease P Christian Scott SS Francisco Lindor,,Alec Bohm,3B,4.55%,0
65,5220788070,d9144 (6/12),19.19,94.7,1B Jared Young 2B Ketel Marte 3B Bo Bichette C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Tim Tawa P Dylan Cease P Dean Kremer SS Geraldo Perdomo,,Matt McLain,2B,4.21%,0
67,5220766893,Henry113,19.68,93.7,1B Matt Olson 2B Bryson Stott 3B Jared Triolo C Rafael Flores Jr. OF Michael Harris II OF A.J. Ewing OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Francisco Lindor,,Kody Clemens,OF,4.21%,19
68,5220779291,tvielkin (4/7),25.85,93.55,1B Tim Tawa 2B Ketel Marte 3B Nolan Arenado C Connor Wong OF Corbin Carroll OF Jarren Duran OF Steven Kwan P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Jakob Marsee,OF,4.21%,0
68,5220770053,kyleorso (9/17),19.01,93.55,1B Ben Rice 2B Jorbit Vivas 3B Austin Riley C Rafael Flores Jr. OF Heliot Ramos OF Spencer Jones OF Jorge Barrosa P Dylan Cease P Eury Perez SS George Lombard Jr.,,Max Kepler,OF,4.21%,0
70,5220777238,massdestruct1 (2/2),28.32,93.2,1B Josh Bell 2B Sam Antonacci 3B Brooks Lee C Drew Romo OF Byron Buxton OF Esmerlyn Valdez OF George Springer P Dylan Cease P Sean Burke SS Kaelen Culpepper,,Ty France,1B,4.21%,0
71,5220785787,jdjay (1/2),16.19,92.7,1B Tim Tawa 2B Jorge Polanco 3B Bo Bichette C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Christian Scott SS Francisco Lindor,,Alejandro Kirk,C,4.21%,3
71,5220787238,jdjay (2/2),16.19,92.7,1B Tim Tawa 2B Jorge Polanco 3B Bo Bichette C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Heriberto Hernandez P Dylan Cease P Christian Scott SS Francisco Lindor,,Manny Machado,3B,4.04%,0
73,5220788075,d9144 (11/12),25.84,92.6,1B Josh Bell 2B Kody Clemens 3B Bo Bichette C Luis Torrens OF Byron Buxton OF Carson Benge OF A.J. Ewing P Ryan Weathers P Christian Scott SS Francisco Lindor,,Munetaka Murakami,1B,4.04%,16
74,5220784527,neterka (2/2),23.01,92.55,1B Jared Young 2B Brett Baty 3B Bryson Stott C Rafael Flores Jr. OF Corbin Carroll OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Eury Perez SS Francisco Lindor,,George Springer,OF,3.87%,0
74,5220785807,Jeter2333 (6/17),18.01,92.55,1B Charles McAdoo 2B Ernie Clement 3B Kazuma Okamoto C Gabriel Moreno OF Ronald Acuna Jr. OF George Springer OF Brett Bateman P Dylan Cease P Eury Perez SS Francisco Lindor,,Nick Sogard,2B,3.87%,0
74,5220787949,Jeter2333 (15/17),18.01,92.55,1B Charles McAdoo 2B Ernie Clement 3B Kazuma Okamoto C Gabriel Moreno OF Ronald Acuna Jr. OF George Springer OF Brett Bateman P Dylan Cease P Eury Perez SS Francisco Lindor,,Jarren Duran,OF,3.87%,5
77,5220768815,the_dreamer (1/6),28.16,92.4,1B Josh Bell 2B Royce Lewis 3B Brooks Lee C Luis Torrens OF Byron Buxton OF Kody Clemens OF Carson Benge P Sean Burke P Christian Scott SS Francisco Lindor,,Adley Rutschman,C,3.87%,2
77,5220781240,the_dreamer (4/6),28.16,92.4,1B Josh Bell 2B Royce Lewis 3B Brooks Lee C Luis Torrens OF Byron Buxton OF Kody Clemens OF Carson Benge P Sean Burke P Christian Scott SS Francisco Lindor,,Andrew Painter,P,3.87%,-1.5
77,5220781901,the_dreamer (5/6),28.16,92.4,1B Josh Bell 2B Royce Lewis 3B Brooks Lee C Luis Torrens OF Byron Buxton OF Kody Clemens OF Carson Benge P Sean Burke P Christian Scott SS Francisco Lindor,,Casey Mize,P,3.70%,0
80,5220762945,miguelon11,20.33,91.75,1B Munetaka Murakami 2B Ernie Clement 3B Miguel Vargas C Alejandro Kirk OF Trevor Larnach OF Braden Montgomery OF Tristan Peters P Dylan Cease P Bryce Elder SS Colson Montgomery,,Luke Keaschall,OF,3.70%,2
81,5220788068,d9144 (4/12),28.16,91.7,1B Josh Bell 2B Royce Lewis 3B Jorge Polanco C Luis Torrens OF Byron Buxton OF Trevor Larnach OF Luke Keaschall P Dylan Cease P Christian Scott SS Francisco Lindor,,Brooks Lee,3B,3.70%,20
81,5220788066,d9144 (2/12),26.01,91.7,1B Jared Young 2B Bryson Stott 3B Eugenio Suarez C Gabriel Moreno OF Corbin Carroll OF Heriberto Hernandez OF Steven Kwan P Dylan Cease P Christian Scott SS Francisco Lindor,,Sal Stewart,1B,3.54%,0
81,5220764841,pdt13 (6/17),20.01,91.7,1B Jared Young 2B Jorge Polanco 3B Eugenio Suarez C Agustin Ramirez OF Byron Buxton OF Corbin Carroll OF Esteury Ruiz P Dylan Cease P Christian Scott SS Francisco Lindor,,Jose Ramirez,3B,3.54%,0
81,5220756744,cha457 (6/17),18.34,91.7,1B Matt Olson 2B Xavier Edwards 3B Eugenio Suarez C Agustin Ramirez OF Heriberto Hernandez OF Esteury Ruiz OF Mike Yastrzemski P Dylan Cease P Christian Scott SS Otto Lopez,,Alec Bohm,1B,3.54%,0
85,5220775486,Stree (6/12),19.51,91.6,1B Matt Olson 2B Xavier Edwards 3B Leo Jimenez C Agustin Ramirez OF Ronald Acuna Jr. OF Michael Harris II OF Javier Sanoja P Ryan Weathers P Christian Scott SS Otto Lopez,,Bryce Elder,P,3.37%,18.5
86,5220752890,GGHOSTMANH (16/17),30.49,91.55,1B Kyle Schwarber 2B Anthony Seigler 3B Bryson Stott C Connor Wong OF Ceddanne Rafaela OF Jarren Duran OF Edmundo Sosa P Dylan Cease P Eury Perez SS Andruw Monasterio,,Miguel Vargas,3B,3.20%,0
86,5220754158,KizrBr (1/5),27.17,91.55,1B Josh Bell 2B Royce Lewis 3B Jorge Polanco C Henry Davis OF Kody Clemens OF Carson Benge OF Luis Robert Jr. P Dylan Cease P Eury Perez SS Francisco Lindor,,Leo Jimenez,3B,3.03%,3
86,5220787131,KizrBr (4/5),27.17,91.55,1B Josh Bell 2B Royce Lewis 3B Jorge Polanco C Henry Davis OF Kody Clemens OF Carson Benge OF Luis Robert Jr. P Dylan Cease P Eury Perez SS Francisco Lindor,,Kody Clemens,2B,3.03%,19
86,5220756753,cha457 (15/17),20.35,91.55,1B Jared Young 2B Xavier Edwards 3B Jorge Polanco C Agustin Ramirez OF Corbin Carroll OF Esteury Ruiz OF Luis Robert Jr. P Dylan Cease P Eury Perez SS Francisco Lindor,,Brett Baty,2B,3.03%,7
86,5220751795,Wanna_Square_Up1567 (15/17),17.36,91.55,1B Abimelec Ortiz 2B Ketel Marte 3B Jorge Polanco C Gabriel Moreno OF Corbin Carroll OF Daylen Lile OF Jorge Barrosa P Dylan Cease P Eury Perez SS Geraldo Perdomo,,Drew Romo,C,3.03%,16
86,5220752876,GGHOSTMANH (2/17),17.36,91.55,1B Abimelec Ortiz 2B Ketel Marte 3B Jorge Polanco C Gabriel Moreno OF Corbin Carroll OF A.J. Ewing OF Tim Tawa P Dylan Cease P Eury Perez SS Geraldo Perdomo,,JJ Bleday,OF,2.86%,2
86,5220770051,kyleorso (7/17),14.17,91.55,1B Kazuma Okamoto 2B Jose Caballero 3B Ryan McMahon C Keibert Ruiz OF Trent Grisham OF Spencer Jones OF Jorge Barrosa P Dylan Cease P Eury Perez SS George Lombard Jr.,,Jorge Barrosa,OF,2.86%,0
93,5220780038,wardsound (2/4),31.34,91.45,1B Ty France 2B Luis Arraez 3B Nolan Arenado C Gabriel Moreno OF Esmerlyn Valdez OF Braden Montgomery OF Brett Bateman P Eury Perez P Ryan Weathers SS Francisco Lindor,,Bryce Harper,1B,2.86%,0
94,5220770128,yaya0130,35,90.7,1B Ty France 2B Jose Caballero 3B Manny Machado C Gabriel Moreno OF Wilyer Abreu OF Trent Grisham OF Spencer Jones P Dylan Cease P Dean Kremer SS George Lombard Jr.,,Brian Navarreto,C,2.86%,0
94,5220785467,Dreak01,28.67,90.7,1B Ty France 2B Xavier Edwards 3B Austin Riley C Keibert Ruiz OF Jake Mangum OF Carson Benge OF Jarren Duran P Dylan Cease P Dean Kremer SS Colson Montgomery,,CJ Abrams,SS,2.86%,0
94,5220775064,Darkmen715 (3/17),26.16,90.7,1B Michael Toglia 2B Royce Lewis 3B Jorge Polanco C Alejandro Kirk OF Byron Buxton OF Kody Clemens OF Trevor Larnach P Dylan Cease P Christian Scott SS Francisco Lindor,,Andruw Monasterio,SS,2.86%,0
94,5220787605,drcrc (1/2),25.68,90.7,1B Jared Young 2B Jorge Polanco 3B Nick Yorke C Drake Baldwin OF Byron Buxton OF Corbin Carroll OF Jackson Merrill P Dylan Cease P Christian Scott SS Geraldo Perdomo,,Michael Soroka,P,2.86%,14.55
