Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
47,5220784493,tomkriger,0,138.55,1B Jared Young 2B Ketel Marte 3B Javier Sanoja C Agustin Ramirez OF Carson Benge OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Eury Perez SS Otto Lopez,,Luis Arraez,2B,5.89%,7
47,5220785626,Gronkowski69 (6/12),0,138.55,1B Nick Sogard 2B Xavier Edwards 3B Javier Sanoja C Agustin Ramirez OF Jarren Duran OF Trevor Larnach OF Heriberto Hernandez P Dylan Cease P Eury Perez SS Otto Lopez,,Steven Kwan,OF,5.56%,0
51,5220752883,GGHOSTMANH (9/17),0,137.75,1B Josh Bell 2B Kody Clemens 3B Javier Sanoja C Agustin Ramirez OF Byron Buxton OF Trevor Larnach OF Heriberto Hernandez P Eury Perez P Christian Scott SS Otto Lopez,,Kaelen Culpepper,SS,5.56%,5
52,5220764848,pdt13 (13/17),0,137.55,1B Nick Yorke 2B Bryson Stott 3B Javier Sanoja C Gabriel Moreno OF Corbin Carroll OF Heriberto Hernandez OF Mike Yastrzemski P Dylan Cease P Eury Perez SS Francisco Lindor,,Sam Antonacci,2B,5.56%,6
53,5220771427,cris_248 (1/4),0,136.75,1B Bryce Harper 2B Luis Arraez 3B Bryson Stott C Agustin Ramirez OF Jackson Merrill OF Heriberto Hernandez OF Javier Sanoja P Eury Perez P Christian Scott SS Otto Lopez,,Dean Kremer,P,5.39%,11.8
53,5220771428,cris_248 (2/4),0,136.75,1B Bryce Harper 2B Luis Arraez 3B Bryson Stott C Agustin Ramirez OF Jackson Merrill OF Heriberto Hernandez OF Javier Sanoja P Eury Perez P Christian Scott SS Otto Lopez,,Jackson Merrill,OF,5.22%,7
53,5220771583,cris_248 (3/4),0,136.75,1B Bryce Harper 2B Luis Arraez 3B Bryson Stott C Agustin Ramirez OF Jackson Merrill OF Heriberto Hernandez OF Javier Sanoja P Eury Perez P Christian Scott SS Otto Lopez,,Tim Tawa,1B,5.22%,4
53,5220771584,cris_248 (4/4),0,136.75,1B Bryce Harper 2B Luis Arraez 3B Bryson Stott C Agustin Ramirez OF Jackson Merrill OF Heriberto Hernandez OF Javier Sanoja P Eury Perez P Christian Scott SS Otto Lopez,,Caleb Durbin,3B,5.22%,3
57,5220775462,tvielkin (3/7),0,136.7,1B Michael Toglia 2B Xavier Edwards 3B Bo Bichette C Agustin Ramirez OF JJ Bleday OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Christian Scott SS Otto Lopez,,Brett Bateman,OF,5.05%,0
58,5220756740,cha457 (2/17),0,136.55,1B Abimelec Ortiz 2B Xavier Edwards 3B Brady House C Agustin Ramirez OF Daylen Lile OF Heriberto Hernandez OF Esteury Ruiz P Dylan Cease P Eury Perez SS Otto Lopez,,Abimelec Ortiz,1B,4.88%,14
