tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Palmer, Ryan",7820,6900,0.0769,CUT,0,0,0,0,16.5,0,16.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Lee, K.H.",13497,6900,0.0119,CUT,0,0,0,0,16.0,0,16.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Walker, Brett",28327,6200,0.0001,CUT,0,0,0,0,15.5,0,15.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kim, Si Woo",14609,7200,0.0531,CUT,0,0,0,0,15.5,0,15.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Geddes, Mark",21886,6000,0.0001,CUT,0,0,0,0,15.5,0,15.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Yang, Y.E.",6629,6200,0.0002,DQ,0,0,0,0,15.5,0,15.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Schwartzel, Charl",7398,6800,0.0842,CUT,0,0,0,0,15.5,0,15.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kaymer, Martin",8117,7000,0.0015,CUT,0,0,0,0,15.0,0,15.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Detry, Thomas",14181,6600,0.0096,CUT,0,0,0,0,14.5,0,14.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Poston, J.T.",21554,6100,0.0124,CUT,0,0,0,0,14.5,0,14.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Griffin, Lanto",15330,6600,0.0129,CUT,0,0,0,0,14.0,0,14.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Smith, Stuart",683,6000,0.0002,CUT,0,0,0,0,14.0,0,14.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Kisner, Kevin",11328,7000,0.0094,CUT,0,0,0,0,13.5,0,13.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Pearce, Tim",28325,6100,0.0001,CUT,0,0,0,0,13.0,0,13.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Wiesberger, Bernd",9531,6700,0.0084,CUT,0,0,0,0,13.0,0,13.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Pieters, Thomas",13944,6800,0.0506,CUT,0,0,0,0,13.0,0,13.0
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Labritz, Rob",7167,6000,0.0002,CUT,0,0,0,0,12.5,0,12.5
pga,2021,2021,PGA Championship,33,draftkings,$3M Fantasy Golf Millionaire [$1M to 1st + ToC Entry],"Hagy, Brandon",18695,0,0.0,CUT,0,0,0,0,12.5,0,12.5
